Country,IMF PPP Forecast (millions)
World,183950000
China,35042689
United States,27966553
India,14261176
Japan,6710984
Germany,5715263
Russia,5225542
Indonesia,4715436
Brazil,4257121
France,4009501
United Kingdom,3984686
Turkey,3805673
Mexico,3423585
Italy,3286912
South Korea,3056739
Spain,2508699
Canada,2471985
Saudi Arabia,2388954
Egypt,1917089
Iran,1808887
Poland,1791323
Australia,1780000
Taiwan,1774657
Thailand,1665865
Pakistan,1644057
Bangladesh,1619384
Vietnam,1551770
Nigeria,1439637
Philippines,1384475
Netherlands,1341659
Malaysia,1307270
Argentina,1302455
Colombia,1059695
South Africa,1038538
United Arab Emirates,952171
Romania,828746
Switzerland,820699
Belgium,793825
Singapore,786872
Ireland,764067
Sweden,736745
Kazakhstan,696903
Algeria,628990
Austria,626458
Chile,597520
Hong Kong,548999
Peru,548465
Czech Republic,539318
Israel,537140
Iraq,508973
Ukraine,474773
Portugal,465131
Norway,452964
Denmark,441754
Hungary,421683
Greece,416969
Ethiopia,393297
Morocco,385337
Uzbekistan,371646
Kenya,338964
Finland,335760
Qatar,328134
Sri Lanka,319523
New Zealand,279183
Myanmar,277767
Dominican Republic,273703
Angola,260323
Kuwait,256593
Ecuador,242579
Slovakia,229584
Tanzania,227725
Ghana,227189
Belarus,221186
Bulgaria,216499
Venezuela,211926
Ivory Coast,202647
Guatemala,201365
Oman,200295
Azerbaijan,192146
Panama,190306
Serbia,173075
Sudan,172651
Libya,166887
Croatia,164672
Tunisia,162097
DR Congo,150883
Nepal,150800
Uganda,145157
Costa Rica,141527
Lithuania,137328
Cuba,—
Cameroon,133335
Jordan,132092
Puerto Rico,132052
Turkmenistan,126132
Bolivia,125428
Paraguay,117349
Slovenia,108683
Uruguay,103372
Cambodia,98319
Bahrain,95973
Luxembourg,94152
Zambia,83687
Georgia,82210
Senegal,78547
Afghanistan,—
Latvia,76550
Honduras,75030
El Salvador,74505
Laos,74205
Lebanon,—
Yemen,69963
Macau,69565
Bosnia and Herzegovina,68012
Burkina Faso,62788
Mali,61625
Estonia,60997
Benin,59241
Armenia,58497
Madagascar,56754
Albania,55928
Mozambique,53710
Tajikistan,53679
Mongolia,52989
Botswana,51886
Nicaragua,51022
Syria,—
Cyprus,49655
Guinea,48750
Guyana,48514
Kyrgyzstan,44623
Zimbabwe,44448
North Macedonia,44055
Trinidad and Tobago,43658
Niger,42739
Rwanda,42346
Moldova,42217
Gabon,41922
Papua New Guinea,41785
North Korea,—
Haiti,38952
Malawi,37919
Mauritius,37012
Palestine,36391
Jamaica,35690
Mauritania,33414
Malta,33303
Chad,32375
Somalia,32078
Brunei,32000
Namibia,30663
Equatorial Guinea,28356
Congo,27994
Kosovo,27918
Iceland,27078
Togo,25103
Bahamas,18146
Sierra Leone,17784
Montenegro,17431
Fiji,15152
Maldives,14740
Eswatini,13797
Burundi,11551
Suriname,11435
New Caledonia,—
Bhutan,10969
Liberia,9718
Eritrea,—
Gambia,7502
Djibouti,7193
South Sudan,7143
Monaco,—
Lesotho,6915
Isle of Man,—
Guinea-Bissau,5981
Guam,—
Cape Verde,5717
Andorra,5711
Central African Republic,5678
Jersey,—
Aruba,5502
French Polynesia,—
Barbados,5436
Bermuda,—
East Timor,5062
Liechtenstein,—
Belize,5032
Cayman Islands,—
Seychelles,4175
U.S. Virgin Islands,—
Guernsey,—
Saint Lucia,3452
Comoros,3432
Curaçao,—
San Marino,2872
Antigua and Barbuda,2601
Greenland,—
Grenada,2307
Gibraltar,—
Faroe Islands,—
Saint Vincent and the Grenadines,1980
Solomon Islands,1783
Saint Kitts and Nevis,1760
Sint Maarten (Dutch part),—
Samoa,1325
Northern Mariana Islands,—
Dominica,1069
Vanuatu,981
São Tomé and Príncipe,962
Turks and Caicos Islands,—
Tonga,711
American Samoa,—
Saint Martin (French part),—
British Virgin Islands,—
Micronesia,413
Cook Islands,—
Kiribati,297
Palau,268
Marshall Islands,263
Saint Pierre and Miquelon,—
Falkland Islands,—
Anguilla,—
Montserrat,—
Nauru,143
Tuvalu,63
Wallis and Futuna,—
"Saint Helena, Ascension and Tristan da Cunha",—
Niue,—
Tokelau,—
